AZ,Apache,70591,1357,535
AZ,Cochise,129518,1853,1267
AZ,Coconino,129849,2065,696
AZ,Gila,52199,730,735
AZ,Graham,37045,617,291
AZ,Greenlee,8041,133,45
AZ,La Paz,20012,240,220
AZ,Maricopa,4023132,65677,26590
AZ,Mohave,194825,2427,2651
AZ,Navajo,112975,2028,889
AZ,Pima,1020200,14187,9036
AZ,Pinal,340962,5876,2424
AZ,Santa Cruz,43771,832,301
AZ,Yavapai,215686,2357,2605
AZ,Yuma,196972,3577,1372
CA,Alameda,1491482,20874,9508
CA,Alpine,1041,13,4
CA,Amador,37876,306,402
CA,Butte,220577,2684,2142
CA,Calaveras,46731,398,402
CA,Colusa,21321,383,132
CA,Contra Costa,1041274,13466,7053
CA,Del Norte,29114,337,258
CA,El Dorado,178447,2014,1190
CA,Fresno,915267,17168,6020
CA,Glenn,28299,487,193
CA,Humboldt,129623,1642,1167
CA,Imperial,166874,3407,1031
CA,Inyo,17293,228,164
CA,Kern,807407,15624,5509
CA,Kings,148764,2714,814
CA,Lake,65279,772,731
CA,Lassen,34473,331,197
CA,Los Angeles,9848011,147094,60309
CA,Madera,148632,2631,937
CA,Marin,250750,2610,1838
CA,Mariposa,17792,152,172
CA,Mendocino,86040,1174,798
CA,Merced,245321,4558,1557
CA,Modoc,9107,101,109
CA,Mono,12927,167,65
CA,Monterey,410370,7469,2291
CA,Napa,134650,1712,1202
CA,Nevada,97751,919,977
CA,Orange,3026786,42907,17659
CA,Placer,348552,4411,2818
CA,Plumas,20122,187,222
CA,Riverside,2125440,34791,14968
CA,Sacramento,1400949,21660,10058
CA,San Benito,55058,846,278
CA,San Bernardino,2017673,34649,12236
CA,San Diego,3053793,47280,20124
CA,San Francisco,815358,8939,6562
CA,San Joaquin,674860,11354,4716
CA,San Luis Obispo,266971,2968,2162
CA,San Mateo,718989,9688,4689
CA,Santa Barbara,407057,6286,2917
CA,Santa Clara,1784642,26887,9142
CA,Santa Cruz,256218,3507,1670
CA,Shasta,181099,2291,1836
CA,Sierra,3174,27,26
CA,Siskiyou,44634,544,519
CA,Solano,407234,5678,2851
CA,Sonoma,472102,5940,3813
CA,Stanislaus,510385,8586,3714
CA,Sutter,92614,1522,744
CA,Tehama,61138,859,583
CA,Trinity,14165,128,178
CA,Tulare,429668,8770,2729
CA,Tuolumne,55175,506,608
CA,Ventura,802983,12139,5024
CA,Yolo,199407,2730,1204
CA,Yuba,72925,1397,511
CO,Adams,440994,7451,2532
CO,Alamosa,15424,270,121
CO,Arapahoe,565360,8249,3447
CO,Archuleta,12430,130,63
CO,Baca,3723,36,55
CO,Bent,6560,63,54
CO,Boulder,303482,3437,1516
CO,Broomfield,55990,861,275
CO,Chaffee,17156,143,159
CO,Cheyenne,1746,24,15
CO,Clear Creek,8706,88,49
CO,Conejos,7844,126,61
CO,Costilla,3148,31,18
CO,Crowley,6403,34,34
CO,Custer,4000,26,28
CO,Delta,31322,386,343
CO,Denver,610345,11113,4337
CO,Dolores,1940,31,5
CO,Douglas,288225,4356,826
CO,Eagle,53653,881,107
CO,Elbert,23287,206,114
CO,El Paso,604542,8929,3673
CO,Fremont,47815,430,517
CO,Garfield,56298,1000,280
CO,Gilpin,5604,55,29
CO,Grand,13911,156,62
CO,Gunnison,15350,185,73
CO,Hinsdale,821,7,3
CO,Huerfano,7558,60,97
CO,Jackson,1369,10,2
CO,Jefferson,536922,6184,3682
CO,Kiowa,1238,15,13
CO,Kit Carson,8402,85,68
CO,Lake,8046,122,25
CO,La Plata,51464,611,274
CO,Larimer,298382,3717,1772
CO,Las Animas,16020,196,171
CO,Lincoln,5169,57,44
CO,Logan,20772,248,197
CO,Mesa,146093,2106,1340
CO,Mineral,912,5,4
CO,Moffat,13980,217,99
CO,Montezuma,25368,328,252
CO,Montrose,41412,583,385
CO,Morgan,27850,453,235
CO,Otero,18670,281,245
CO,Ouray,4602,37,19
CO,Park,16762,149,77
CO,Phillips,4472,62,47
CO,Pitkin,16043,166,50
CO,Prowers,12982,199,120
CO,Pueblo,157224,2160,1596
CO,Rio Blanco,6534,102,48
CO,Rio Grande,11581,166,131
CO,Routt,23469,273,99
CO,Saguache,7097,77,31
CO,San Juan,555,6,0
CO,San Miguel,7558,93,7
CO,Sedgwick,2326,27,28
CO,Summit,27239,378,44
CO,Teller,21685,208,125
CO,Washington,4420,47,59
CO,Weld,254759,4251,1383
CO,Yuma,9734,154,114
CT,Fairfield,901208,10969,6566
CT,Hartford,879835,10495,7623
CT,Litchfield,188728,1812,1651
CT,Middlesex,165702,1655,1364
CT,New Haven,848006,10135,7442
CT,New London,266830,3102,2221
CT,Tolland,150461,1374,929
CT,Windham,117518,1357,933
DE,Kent,157741,2364,1355
DE,New Castle,534634,7113,4223
DE,Sussex,192747,2503,2131
FL,Alachua,243574,2962,1625
FL,Baker,26336,404,219
FL,Bay,164767,2340,1512
FL,Bradford,29235,355,266
FL,Brevard,536357,5658,5926
FL,Broward,1766476,21965,14622
FL,Calhoun,13821,158,141
FL,Charlotte,156952,1201,2277
FL,Citrus,140357,1163,2348
FL,Clay,186756,2472,1379
FL,Collier,318537,3854,2944
FL,Columbia,69264,900,730
FL,DeSoto,35297,464,274
FL,Dixie,14824,173,179
FL,Duval,857040,13150,7143
FL,Escambia,303343,4225,2947
FL,Flagler,91622,938,974
FL,Franklin,11280,117,108
FL,Gadsden,47474,757,464
FL,Gilchrist,17116,203,163
FL,Glades,10950,76,81
FL,Gulf,15755,136,148
FL,Hamilton,14592,179,118
FL,Hardee,29415,514,191
FL,Hendry,39594,717,300
FL,Hernando,171233,1712,2544
FL,Highlands,98704,1074,1443
FL,Hillsborough,1195317,17226,9174
FL,Holmes,19099,227,234
FL,Indian River,135167,1472,1782
FL,Jackson,50930,598,551
FL,Jefferson,14010,166,159
FL,Lafayette,7949,98,70
FL,Lake,312119,3530,4042
FL,Lee,586908,7367,6079
FL,Leon,265714,3323,1591
FL,Levy,39147,481,463
FL,Liberty,7983,105,44
FL,Madison,18901,242,237
FL,Manatee,318361,3911,3526
FL,Marion,328547,3819,4411
FL,Martin,139794,1331,1719
FL,Miami-Dade,2500625,33111,18641
FL,Monroe,73165,666,628
FL,Nassau,70576,864,663
FL,Okaloosa,178473,2614,1435
FL,Okeechobee,40241,575,390
FL,Orange,1086480,16558,6735
FL,Osceola,270618,4152,1737
FL,Palm Beach,1279950,15222,13797
FL,Pasco,471709,5598,5635
FL,Pinellas,909013,9027,11395
FL,Polk,583403,8360,5808
FL,Putnam,72893,1019,913
FL,St. Johns,187436,2011,1462
FL,St. Lucie,266502,3564,2730
FL,Santa Rosa,151759,1901,1061
FL,Sarasota,369765,3161,5136
FL,Seminole,413204,4817,2786
FL,Sumter,77681,654,938
FL,Suwannee,40149,546,492
FL,Taylor,21400,269,205
FL,Union,14584,176,214
FL,Volusia,495890,5322,6152
FL,Wakulla,32815,365,278
FL,Walton,55105,702,501
FL,Washington,23916,293,261
GA,Appling,18011,258,193
GA,Atkinson,8230,171,65
GA,Bacon,10601,145,119
GA,Baker,3637,28,11
GA,Baldwin,46337,584,414
GA,Banks,16799,207,131
GA,Barrow,72158,1288,492
GA,Bartow,96217,1573,788
GA,Ben Hill,17567,301,212
GA,Berrien,17044,286,177
GA,Bibb,156060,2522,1647
GA,Bleckley,12855,164,105
GA,Brantley,15643,128,145
GA,Brooks,16354,178,187
GA,Bryan,32559,523,201
GA,Bulloch,69213,889,485
GA,Burke,22797,352,254
GA,Butts,24392,336,242
GA,Calhoun,6306,80,40
GA,Camden,48277,849,268
GA,Candler,10680,186,126
GA,Carroll,114778,1788,910
GA,Catoosa,64035,804,490
GA,Charlton,10725,138,83
GA,Chatham,256992,3979,2312
GA,Chattahoochee,14402,253,22
GA,Chattooga,26619,293,291
GA,Cherokee,215084,3566,1102
GA,Clarke,116342,1652,698
GA,Clay,3113,55,17
GA,Clayton,275772,4612,1509
GA,Clinch,6988,106,72
GA,Cobb,714692,10614,3778
GA,Coffee,40868,615,386
GA,Colquitt,45596,721,427
GA,Columbia,112958,1598,687
GA,Cook,16603,246,171
GA,Coweta,127111,1918,759
GA,Crawford,12240,127,108
GA,Crisp,22210,331,257
GA,Dade,16127,179,164
GA,Dawson,22555,328,185
GA,Decatur,28838,397,323
GA,DeKalb,747274,10669,4128
GA,Dodge,19749,271,259
GA,Dooly,11819,168,121
GA,Dougherty,95859,1566,858
GA,Douglas,129703,2046,794
GA,Early,11568,180,140
GA,Echols,4213,24,8
GA,Effingham,53541,738,353
GA,Elbert,20372,258,275
GA,Emanuel,23075,374,271
GA,Evans,11695,211,121
GA,Fannin,22945,272,287
GA,Fayette,106788,1043,694
GA,Floyd,96250,1389,974
GA,Forsyth,174520,2736,813
GA,Franklin,21748,295,240
GA,Fulton,1033756,14686,6096
GA,Gilmer,29021,398,267
GA,Glascock,2801,39,37
GA,Glynn,76820,1138,772
GA,Gordon,53292,893,448
GA,Grady,25187,422,256
GA,Greene,15743,174,171
GA,Gwinnett,808167,13328,3362
GA,Habersham,43613,673,343
GA,Hall,187743,3358,1216
GA,Hancock,9219,103,107
GA,Haralson,28890,371,327
GA,Harris,30138,359,252
GA,Hart,24067,279,263
GA,Heard,11528,131,107
GA,Henry,195370,3276,1112
GA,Houston,135715,2010,963
GA,Irwin,10086,109,94
GA,Jackson,63544,1095,563
GA,Jasper,13953,177,112
GA,Jeff Davis,13659,248,150
GA,Jefferson,16478,243,205
GA,Jenkins,8450,116,79
